"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1991",27.83348697,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1992",26.15241446,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1993",25.97048011,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1994",25.63060963,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1995",25.45058244,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1996",27.23651227,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1997",28.75966099,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1998",26.59047661,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1999",27.91828298,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2000",26.35462433,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2001",24.46036157,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2002",25.11618553,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2003",25.81171138,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2004",28.56664444,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2005",27.06126788,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2006",26.92516712,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2007",24.09761552,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2008",23.30106253,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2009",23.43242333,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2010",25.30048579,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2011",23.28277027,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2012",22.42724269,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2013",23.7283312,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2014",23.59946201,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2015",22.8010372,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2016",21.87499999,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",21.94357184,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2018",22.01251548,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2019",22.08194752,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2020",22.15190149,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2021",22.22227599,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2022",22.29267832,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2023",22.36380657,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2024",22.4356443,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2025",22.50772083,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","1990",14.31885846,
